id,language_name,extension,program
336,Json,json,"{ ""hello"": ""world"" }
"
337,Jsoniq,,"""Hello World""
"
338,Jsx,js,"var React = require('react');

var HelloWorld = function() {
    return <span>Hello World</span>;
};
HelloWorld.displayName = 'HelloWorld';

console.log(React.renderToString(<HelloWorld />));
"
339,Judoscript,,". ""Hello World"";
"
340,Julia,jl,"println(""Hello World"")
"
341,Jython,py,"print ""Hello World"""
342,K,k,"""Hello World\n"""
343,Karel,kl,"PROGRAM hello_world
BEGIN
  WRITE('Hello World', CR)
END hello_world
"
344,Kiml,kiml,"io.out ""Hello World""
"
345,Kipple,kipple,"33>o<100 108>o<114 111>o<87 32>o<111 108>o<108 101>o<72
"
346,Kitten,ktn,"""Hello World"" say
"
347,Koberi C,koberice,"(int main()
    (print ""Hello World"")
    (return 0))
"
348,Kotlin,kt,"package hello
 
fun main() {
  println(""Hello World"")
}
"
349,Ksh,ksh,"#!/bin/ksh
echo ""Hello World""
"
350,Labyrinth,labyrinth,"33_100_108:}_114_111:}_87_32_44{{:_101_72.......
@
"
351,Lassoscript,lasso,"<?LassoScript
	Variable: 'ScreenText' = 'Hello World';
	$ScreenText;
?>
"
352,Latex,tex,"\documentclass{article}
\begin{document}
Hello World
\end{document}
"
353,Lazyk,lazy,"`k``s``si`k``s`k```sii``s``s`kski``s``s`ksk``s``s`ksk```s``siii``s``s`kski`k``s``si`k``s``s`ksk```s``s`ksk
i``s`k``s``s`kski``s``s`ksk```sii``s``s`kski`k``s``si`k``s`k```sii``s``s`kski```sii``s``s`ksk``s``s`kski`k
``s``si`k``s`k```sii``s``s`kski```sii``s``s`ksk``s``s`kski`k``s``si`k``s``s`ksk``s`k``s``s`kski``s``s`ksk`
`s`k``s``s`kski```sii``s``s`ksk``s``s`kski`k``s``si`k````s``s`ksk```s``siii``s``s`kski`s``s`ksk```sii``s``
s`ksk``s``s`kski`k``s``si`k``s`k``s``s`kski```s``siii``s``s`kski`k``s``si`k``s`k``s``s`ksk``s`k``s``s`kski
``s``s`ksk``s``s`kski``s``s`ksk```s``siii``s``s`kski`k``s``si`k``s``s`ksk``s`k``s``s`kski``s``s`ksk``s`k``
s``s`kski```sii``s``s`ksk``s``s`kski`k``s``si`k``s`k``s``s`kski``s``s`ksk``s`k``s``s`kski``s``s`ksk```sii`
`s``s`ksk``s``s`kski`k``s``si`k``s`k```sii``s``s`kski```sii``s``s`ksk``s``s`kski`k``s``si`k```s``s`kski``s
`k``s``s`kski``s``s`ksk```sii``s``s`kski`k``s``si`k``s``s`ksk``s`k``s``s`kski```s``siii``s``s`kski`k``s``s
i`k``s`k``s``s`kski``s``s`ksk```sii``s``s`kski`k``s``si`k```sii```sii``s``s`kski`k```sii```sii``s``s`kski
"
354,Lcoffee,lcoff,"print ""Hello World""
"
355,Less,less,"body::before {
    content: ""Hello World!""
}"
356,Leszek,leszek,"\O\C\.1.Hello World
"
357,Limbo,b,"implement Hello;

include ""sys.m"";
	sys: Sys;
include ""draw.m"";

Hello: module
{
	init:	fn(ctxt: ref Draw->Context, argv: list of string);
};

init(ctxt: ref Draw->Context, argv: list of string)
{
	sys = load Sys Sys->PATH;
	sys->print(""Hello World\n"");
}
"
358,Lingo,lg4,"on startmovie
  alert ""Hello World""
end
"
359,Lisaac,li,"// Hello World in Lisaac

Section Header
	+ name		:= HELLO_WORLD;

Section Inherit

	- parent_object:OBJECT := OBJECT;

Section Public

	- main <-
	(
		""Hello World !\n"".print;
	);
"
360,Lisp,lsp,"; LISP
(DEFUN hello ()
  (PRINT (LIST 'HELLO 'WORLD))
)

(hello)
"
361,Livescript,ls,"console.log ""Hello World""
"
362,Llvm,ll,"; llvm-as llvm.ll
; x86 assembly: llc llvm.bc -o llvm.s -march x86
; interpreter: lli llvm.bc

target datalayout = ""e-p:32:32:32-i1:8:8-i8:8:8-i16:16:16-i32:32:32-i64:32:64-f32:32:32-f64:32:64-v64:64:64-v128:128:128-a0:0:64-f80:128:128""
@.str = internal constant [12 x i8] c""Hello World\00""

; puts from libc
declare i32 @puts(i8*)

define i32 @main(...) {
	call i32 @puts(i8* getelementptr([12 x i8]* @.str, i32 0, i32 0))
	ret i32 0
}
"
363,Lnusp,lnusp,"--- Hello World
---
000        .INPUT          .OUTPUT          .STOP
001 .                      .                .
001  .                     .                .
001   .                    .                .
001    . !.!               .                .
001     .   !              .                .
001    ! .  !              .                .
001    .  !!               .                .
001    *                   .                .
072    + H                 .                .
001    *                   .                .
101    + e                 .                .
001    *                   .                .
108    + l                 .                .
001    *                   .                .
108    + l                 .                .
001    *                   .                .
111    + o                 .                .
001    *                   .                .
032    + (sp)              .                .
001    *                   .                .
087    + W                 .                .
001    *                   .                .
111    + o                 .                .
001    *                   .                .
114    + r                 .                .
001    *                   .                .
108    + l                 .                .
001    *                   .                .
100    + d                 .                .
001    *                   .                .
033    + !                 .                .
001    *                   .                .
013    + (cr)              . -------------- .
001    *                   .                .
001    !                   .                .
001     .                  .                .
001      .        !!       .                .
001       . !.!  !  !      .    !......!    .
001        .   ! .  !   ?......!.....?  !   .
001       ! .  ! . @   ?   .   .??    ? .   .
001       .  !!  ./.   .   .   ?  ?   . .   .
016       .      . * --.-- . --.  .---.-.-- .
001       .      ! .   ?   .   *  ?   . !   .
001       .       !.....?..@.....?.....!....@
001       .        .           ?      ?    .
001       !        !           ..    .    .
001        !......!            ! ?..?    .
001                             !.......!
"
364,Locomotive Basic,b,"10 print ""Hello World""
run
"
365,Logicode,lgc,"out @1001000+@1100101+@1101100+@1101100+@1101111+@100000+@1010111+@1101111+@1110010+@1101100+@1100100
"
366,Logo,lg,"print [Hello World]
"
367,Logtalk,lgt,"write('Hello World')
"
368,Lola,lola,":H,:e,2:l,,:o,:',:_,:w,:o,:r,:l,:d,:!,:%,:\\b,\\a,,,,,,,,,,,,,,

+\\\cb,ba,,
*\\ba+,,\\a,
:\\\a\c,c,

H*+8,,8,
e+d,
l8+,d,
o3+,l,
'_+,^,
w8+,o,
r+^,+,e,
d2%,
_52,
!+_,

2\\bba,,
3+2,
5+22,,
832,
%*2,5,
^2*2,,3,
"
369,Lolcode,lol,"HAI
CAN HAS STDIO?
VISIBLE ""Hello World""
KTHXBYE
"
370,Lolpython,lol,"VISIBLE ""Hello World""
"
371,Lotusscript,lss,"Sub Initialize
	Print ""Hello World""
End Sub
"
372,Lsl,lsl,"default
{
    state_entry()
    {
        llSay(0, ""Hello World"");
    }
}"
373,Lua,lua,"print(""Hello World"")"
374,Lua Grimex,j,"//! externalblock extension=lua ObjectMerger $FILENAME$

//! i   log(""Hello World"")

//! endexternalblock
"
375,M4,m4,Hello
376,Maclisp,lisp,"(comment) ;-*- Lisp -*-
(progn
  (defun hello-world ()
    (princ ""Hello World"")
    (quit))
  (close (prog1 infile (inpush -1)))
  (sstatus feature noldmsg)
  (gctwa)
  (gc)
  (sstatus flush t)
  (suspend "":KILL "" '(ts hello))
  (hello-world))
"
377,Macsyma,mac,"/* Macsyma */
print(""Hello World"");
"
378,Magic,,"HELLO.WORLD

""Hello World""^#;
"
379,Make,makefile,"hello:
    echo Hello World
"
380,Malbolge,mbg,"D'`$MLKJ}|43V1C5S3sr0)M^mJIZjh3DCAA?-=v{)Lxqpunm3kSinmlkdib(IHdc\""!Y^]\[ZYXQuUTMRQJImG/KJIHG@d>&<;:9>=6Z498165.-Q10/.'&J*)(!g}C0
"
381,Markdown,md,"Hello World
"
382,Mathematica Online,nb,"Notebook[{Cell[
BoxData[RowBox[{""Print"",""["",""\""Hello World\"""",""]""}]],""Input"",CellID->1]},
StyleDefinitions->""Default.nb"",FrontEndVersion->""10.0 for Wolfram Cloud Platform (June 2 2014)""]"
383,Matlab,m,"disp('Hello World')
"
384,Maxscript,ms,"print ""Hello World""
-- ""Hello World""


-- Note that MAXScript is expression-based, so simply writing ""Hello World"" is
-- sufficient to echo it for the reader. Like Haskell, all MAXScript expressions
-- *must* return values, even if they're unused.
"
385,Mel,mel,"proc helloWorld () {
   print ""Hello World\n"";
}
helloWorld;
"
386,Meq,meq,".==++>:+>+[>:++++++++]>:=+>===++>.===+++++++>:=+>:=++++>:++++++++>:rp>p>>p>p>p>p>p>p>p>p>p!
"
387,Mercury,m,":- module hello.
:- interface.
:- import_module io.
:- pred main(io::di, io::uo) is det.

:- implementation.
main(!IO) :-
	io.write_string(""Hello World\n"", !IO).
"
388,Milkscript,milk,"#import ""basic""
print(""Hello World"")
"
389,Minecraft,,"tellraw @a ["""",{""text"":""Hello World""}]
"
390,Mips,s,".data
hello_world: .asciiz ""Hello World""

.text
main:
  li $v0, 4            # Load syscommand print_string
  la $a0, hello_world  # Load hello_world string into register $a0
  syscall              # Print the string
  jr $ra               # Return
"
391,Mirc,mrc,"echo -a Hello World
"
392,Mmmm(),mmmm,"Mmm=m[m.m()].m(m.m());
Mmmm=m[mm].m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();Mmmmm=mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();m[mmmm].m(mmm.m());
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();Mmmmmm=mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
Mmmmmmmmm=mmm.m();
m[mmmm].m(mmm.m());
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();Mmmmmmm=mmm.m();
m[mmmm].m(mmmmmm);m[mmmm].m(mmmmmm);
mmm.m();mmm.m();
Mmmmmmmm=mmm.m();
m[mmmm].m(mmmmmmm);
mmm.m();mmm.m();
Mmmmmmmmmm=mmm.m();
Mmmm=m[mm].m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();
Mmmmmmmmmmm=mmm.m();
Mmmmmmmmmmmm=mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();mmm.m();mmm.m();
mmm.m();mmm.m();
m[mmmm].m(mmm.m());
m[mmmm].m(mmmmmmmmmm);
m[mmmm].m(mmmmm);
m[mmmm].m(mmmmmmm);
m[mmmm].m(mmmmmmmmm);
m[mmmm].m(mmmmmm);
m[mmmm].m(mmmmmmmm);
m[mmmm].m(mmmmmmmmmmm);
"
393,Modiscript,chai,"Mitrooon
    bhaiyo aur behno ""Hello World""
Achhe din aa gaye
"
394,Modula 2,mod,"MODULE HelloWorld;

FROM Terminal2 IMPORT WriteString, WriteLn;

BEGIN

    WriteString(""Hello World"");
    WriteLn;
    
END HelloWorld."
395,Modula 3,m3,"MODULE HelloWorld;
IMPORT Io;
BEGIN
    IO.Put (""Hello World\n"")
END HelloWorld."
396,Mongo,shell,"print(""Hello World"")
"
397,Monte,mt,"traceln(""Hello World"")
"
398,Moo,moo,"@program hello:run
player:tell(""Hello World"");
."
399,Moonscript,moon,"print 'Hello World'
"
400,Morsecode,,".... . .-.. .-.. ---   .-- --- .-. .-.. -..
"
401,Mouse,mse,"""Hello World""
'! !'
$
"
402,Move,mv,"alert 'Hello World'
"
403,Mozart,oz,"functor
import
     Application
     System
define
    {System.showInfo 'Hello World'}
    {Application.exit 0} 
end
"
404,Muf,muf,": main
    me @ ""Hello World"" notify
;
"
405,Mumps,m," w ""Hello World"",!
"
406,Mushcode,mush,"say Hello World.
"
407,Myrddin,myr,"use std

const main = {
    std.put(""Hello World\n"")
}

"
408,Mysql,sql,"SELECT 'Hello World';
"
409,Mathematica,nb,"Print[""Hello World""]
"
410,Nadeshiko,fjo,"「Hello World」と表示。
"
411,Neko,neko,"$print(""Hello World\n"");
"
412,Nemerle,n,"class Hello
{
    static Main () : void
    {
        System.Console.WriteLine (""Hello World"");
    }
}"
413,Newtonscript,nwt,"baseview :=
   {viewBounds: {left: -3, top: 71, right: 138, bottom: 137},
    viewFlags: 581,
    declareSelf: 'base,
    _proto: protoFloatNGo,
    debug: ""baseview""
   };

textview := * child of baseview *
   {text: ""Hello World"",
    viewBounds: {left: 33, top: 24, right: 113, bottom: 46},
    viewFlags: 579,
    _proto: protoStaticText,
    debug: ""textview""
   };
"
414,Nice,nice,"void main(String[] args){
   println(""Hello World"");
}
"
415,Nim,nim,"echo(""Hello World"")
"
416,Nit,nit,"print ""Hello World""

"
417,Nodejs,js,"#!/usr/bin/env node

console.log('Hello World');
"
418,Novice,novice,"a
a-Hello World_*
Hello World_*
"
419,Nu,nu,"(puts ""Hello World"")
"
420,Nwscript,nss,"// Place in the OnClientEnter event of the module's properties
{
    SendMessageToPC(GetEnteringObject(), ""Hello World"");
}
"
421,Nxc,nxc,"task main()
{
    TextOut(0, LCD_LINE1, ""Hello World"");
}
"
422,Oberon 2,obn,"MODULE HelloWorld;                     
IMPORT Out;
BEGIN
  Out.String( ""Hello World"" );
  Out.Ln;
END HelloWorld."
423,Oberon,o,"MODULE HelloWorld;

IMPORT Out;

BEGIN
   Out.Open;
   Out.String('Hello World');
END HelloWorld.
"
424,Obix,osc,"system.console.write_line ( ""Hello World"" )
"
425,Obj,st,"stdout println:'Hello World'.
"
426,Object Pascal,pp,"program ObjectPascalExample;

type
   THelloWorld = class
      procedure Put;
   end;

procedure THelloWorld.Put;
begin
   Writeln('Hello World');
end;

var
   HelloWorld: THelloWorld;

begin
   HelloWorld := THelloWorld.Create;
   HelloWorld.Put;
   HelloWorld.Free;
end."
427,Objective C,m,"/*
 Build on OS X: 
 clang -framework Foundation -fobjc-arc objc.m -o objc
 
 Build on Linux with GNUstep:
 clang `gnustep-config --objc-flags` `gnustep-config --base-libs` -fobjc-nonfragile-abi -fobjc-arc objc.m -o objc
 */

#import <Foundation/Foundation.h>

int main(void)
{
    NSLog(@""Hello World"");
}
"
428,Objective J,j,"document.write(""Hello World"");
"
429,Objectstar,,CALL ENDMSG('HELLO WORLD');
430,Ocaml,ml,"print_string ""Hello World\n"""
431,Octave,octave,"#Hello World in Octave (http://www.octave.org/)
printf(""Hello World\n"");
"
432,Omgrofl,omgrofl,"lol iz 72
rofl lol
lol iz 101
rofl lol
lol iz 108
rofl lol
rofl lol
lool iz 111
rofl lool
loool iz 44
rofl loool
loool iz 32
rofl loool
loool iz 87
rofl loool
rofl lool
lool iz 114
rofl lool
rofl lol
lol iz 100
rofl lol
lol iz 33
rofl lol
"
433,Ooc,ooc,"main: func {
    ""Hello World"" println()
}

"
434,Ook,ok,"Ook. Ook? Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook! Ook? Ook? Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook? Ook! Ook! Ook? Ook! Ook? Ook.
Ook! Ook. Ook. Ook? Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook! Ook? Ook? Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook?
Ook! Ook! Ook? Ook! Ook? Ook. Ook. Ook. Ook! Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook! Ook. Ook! Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook! Ook. Ook. Ook? Ook. Ook? Ook. Ook? Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook! Ook? Ook? Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook? Ook! Ook! Ook? Ook! Ook? Ook. Ook! Ook.
Ook. Ook? Ook. Ook? Ook. Ook? Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook! Ook? Ook? Ook. Ook. Ook.
Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook. Ook? Ook! Ook! Ook? Ook! Ook? Ook. Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook.
Ook? Ook. Ook? Ook. Ook? Ook. Ook? Ook. Ook! Ook. Ook. Ook. Ook. Ook. Ook. Ook.
Ook! Ook. Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook.
Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook! Ook!
Ook! Ook. Ook. Ook? Ook. Ook? Ook. Ook. Ook! Ook.

"
435,Opa,opa,"jlog(""Hello World"")
"
436,Openlaszlo,lzx,"<canvas>
    <text>Hello World</text>
</canvas>
"
437,Oraclesql,sql,"SELECT 'Hello World' FROM DUAL;
"
438,Orc,orc,"{- HelloWorld.orc -- Orc program HelloWorld
 -
 - $Id$
 -
 - Created by xbony2 on Nov 8, 2014 8:30:25 PM
 - Licensed under public domain.
 -}

Println(""Hello World"") >>
stop
"
439,Oz,oz,"{Show 'Hello World'}
"
440,Parenthetic,p,"Parenthetic - https://github.com/cammckinnon/Parenthetic

((()()())(()(()()))((()(()))((())()()()()()()())((()()(()))((())()()()()()()()()())
((())()()()()()()()()()()))))((()()())(()(()()()))((()(())(())())((())()()()()()()(
)()()()()()()()()()()()()()()()()()()()()()()()()())))((()(()))((()(())(())())((()(
()))(()(()()))((())()()()()()()())))((()(())(())())((()(()))(()(()()))((())()()()()
)))((()(())(())())((()(()))(()(()()))((())()()()()()()()()()()())))((()(())(())())(
(()(()))(()(()()))((())()()()()()()()()()()())))((()(())(())())((()(()))(()(()()))(
(())()()()()()()()()()()()()()())))(()(()()()))((()(())(())())((()(()))(()(()()))((
())()()()()()()()()()()()()()()()()()()()()()())))((()(())(())())((()(()))(()(()())
)((())()()()()()()()()()()()()()())))((()(())(())())((()(()))(()(()()))((())()()()(
)()()()()()()()()()()()()())))((()(())(())())((()(()))(()(()()))((())()()()()()()()
()()()())))((()(())(())())((()(()))(()(()()))((())()()()))))
"
441,Parser,p,"@main[]
  ^rem{Will print ""Hello World"" when run as CGI script}
  $hello[Hello World]
  $result[$hello]
"
442,Pascal,p,"program HelloWorld(output);
begin
        writeln('Hello World');
end.
"
443,Pauscal,pdp,"Importar ""Pauscal.prp""
Mensaje(""Hello World"")
Fin"
444,Pawn,p,"#include <core>
 
main(){
    print(""Hello World"");   
}
"
445,Pb,pwr,"; Hello World in ""PowerBatch Plus+"" from Computing Systems Design, Inc.

Variable        Msg,13,""Hello World""

Write           Msg
"
446,Pbwin,bas,"#COMPILE EXE
#DIM ALL

FUNCTION PBMAIN () AS LONG

    MSGBOX ""Hello World""

END FUNCTION
"
447,Pebble,c,"#include <pebble.h>

static Window* main_window;
static TextLayer* text_layer, *world_layer;

static void main_window_load(Window* window) {
    Layer *window_layer = window_get_root_layer(window);
    window_set_background_color(main_window, GColorBlack);
    GRect bounds = layer_get_bounds(window_layer);
    text_layer = text_layer_create(
        GRect(0, bounds.size.h / 2 - 42, bounds.size.w, 120));
    text_layer_set_text(text_layer, ""Hello"");
    text_layer_set_background_color(text_layer, GColorClear);
    text_layer_set_text_color(text_layer, GColorWhite);
    text_layer_set_font(text_layer, fonts_get_system_font(FONT_KEY_BITHAM_42_BOLD));
    text_layer_set_text_alignment(text_layer, GTextAlignmentCenter);

    world_layer = text_layer_create(
        GRect(0, bounds.size.h / 2, bounds.size.w, 120));
    text_layer_set_background_color(world_layer, GColorClear);
    text_layer_set_text(world_layer, ""World"");
    text_layer_set_text_color(world_layer, GColorLightGray);
    text_layer_set_font(world_layer, fonts_get_system_font(FONT_KEY_BITHAM_42_BOLD));
    text_layer_set_text_alignment(world_layer, GTextAlignmentCenter);
  
    layer_add_child(window_layer, text_layer_get_layer(text_layer));
    layer_add_child(window_layer, text_layer_get_layer(world_layer));
}
static void main_window_unload(Window* window) {
    text_layer_destroy(text_layer);
    text_layer_destroy(world_layer);
}

static void init() {
    main_window = window_create();
    window_set_window_handlers(main_window, (WindowHandlers) {
        .load = main_window_load,
        .unload = main_window_unload
    });
    window_stack_push(main_window, true);
}

static void deinit() {
    window_destroy(main_window);
}

int main(void) {
    init();
    app_event_loop();
    deinit();
}
"
448,Perl,cgi,"   #!/usr/local/bin/perl -w
   use CGI;                             # load CGI routines
   $q = CGI->new;                        # create new CGI object
   print $q->header,                    # create the HTTP header
         $q->start_html('Hello World'), # start the HTML
         $q->h1('Hello World'),         # level 1 header
         $q->end_html;                  # end the HTML

 # http://perldoc.perl.org/CGI.html
"
449,Perl,pl,"#!/usr/bin/perl
print ""Hello World\n"";
"
450,Perl6,p6,"#!/usr/bin/env perl6

v6;

say ""Hello World"";

"
451,Perseus,p%2B%2B,"link CUI entry main

include ""Windows.inc""
include ""Console.inc""

func main()
{
	Console.Init(""Console"")
	Console.Write(""Hello World"")
}
"
452,Pharo,st,'Hello World' crLog
453,Php,php,"<?php

echo 'Hello World';
"
454,Picat,pi,"main =>
  println('Hello World').
"
455,Piet,png,"�PNG

"
456,Pig,pig,"Hello WorldPIGHello World
"
457,Pikalang,pokeball,"pi pi pi pi pi pi pi pi pi pi pika pipi pi pi pi pi pi pi pi pipi pi pi
pi pi pi pi pi pi pi pi pipi pi pi pi pipi pi pichu pichu pichu pichu ka
chu pipi pi pi pikachu pipi pi pikachu pi pi pi pi pi pi pi pikachu
pikachu pi pi pi pikachu pipi pi pi pikachu pichu pichu pi pi pi pi pi
pi pi pi pi pi pi pi pi pi pi pikachu pipi pikachu pi pi pi pikachu ka
ka ka ka ka ka pikachu ka ka ka ka ka ka ka ka pikachu pipi pi pikachu
pipi pikachu "
458,Pike,pike,"int main() {
    write(""Hello World\n"");
    return 0;
}
"
459,Pit,pit,"NOT 1
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 0
SND 1
SND 0
SND 0
SND 0
SND 1
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 1
NOT 2
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
SND 2
SND 1
NOT 2
SND 2
SND 0
OFF 0
"
460,Pizza,pizza,"class HelloWorld {
  public static void main(String[] args) {
    System.out.println(""Hello World"");
  }
}"
461,Please Porige Hot,pph,"1 Please porige hot or cold Hello World
"
462,Pli,pl1,"Hello2: proc options(main);
     put list ('Hello World');
end Hello2;"
463,Plsql,sql,"begin
  dbms_output.put_line('Hello World');
end;
/
"
464,Pluvo,pvo,"say ""Hello World""
"
